Front,Back
"Define: nonchalant (non-shuh-lont)","adj. casually unconcerned Lauren was nonchalant about being chosen as valedictorian; she simply didn't think it was a big deal. Prefix: non- (meaning “not”)"
"Define: oscillate (oss-ih-lehyt)","v. to move or swing from side to side v. to waver between conflicting positions Her feelings towards her cynical commanding officer oscillated between admiration and disgust. Root: oscill (from Latin oscillare, meaning “to swing”)"
"Define: ostentatious (oss-ten-tay-shuss)","adj. intended to impress adj. characterized by pretension She loves to show off that ostentatious ring her rich husband got for her. Root: ostent (from Latin ostentare, meaning “to display”)"
"Define: overwrought (oh-vur-rawt)","adj. deeply agitated or anxious Everyone in the family was overwrought with the thought that the children might be in danger. Prefix: over- (meaning “excessively”)"
"Define: pacific (puh-sif-ick)","adj. of a peaceful nature adj. promoting peace and conflict resolution The government decided to pursue a pacific policy and call back its troops on the border. Root: pac (from Latin pax, meaning “peace”)"
"Define: palatable (pal-ih-tuh-bull)","adj. acceptable to one's taste or mind Though clearly necessary to balance the budget, unpopular tax increases are not palatable to any political party. Suffix: -able (meaning “capable of”)"
"Define: perennial (puh-ren-ee-ul)","adj. endless adj. recurring over and over Not being able to pay rent on time was a perennial problem for him. Prefix: per- (from Latin, meaning “through”); Root: enn (from Latin annus, meaning “year”)"
"Define: perfidy (per-fih-dee)","n. a betrayal of trust The soldier was known for his loyalty, so his act of perfidy was particularly shocking to his superior officers. Prefix: per- (from Latin, meaning “through” or “thoroughly”); Root: fid (from Latin fides, meaning “faith”)"
"Define: perfunctory (per-funk-tuh-ree)","adj. done as a formality, without attention to detail Her apology was clearly only a perfunctory gesture and not truly heartfelt. Prefix: per- (from Latin, meaning “through” or “thoroughly”); Root: funct (from Latin fungi, meaning “to perform”)"
"Define: pernicious (per-nish-us)","adj. harmful; hurtful, especially in a slow or subtle way The pernicious effects of money in politics are hardly unique to this country. Prefix: per- (from Latin, meaning “through” or “thoroughly”); Root: nic (from Latin nex, meaning “death” or “harm”)"
"Define: perspicacity (per-spih-kass-ih-tee)","n. sharp powers of observation The writer's perspicacity made it easy for her to understand and write about human nature. Prefix: per- (from Latin, meaning “through”); Root: spic (from Latin specere, meaning “to look” or “to see”)"
