Front,Back
"Define: mendacious (men-dey-shuhs)","adj. dishonest Phyllis is mendacious yet entertaining; she is fun to talk to at a party, but I wouldn't believe a word she says. Root: mendac (from Latin mendax, meaning “lying” or “deceitful”)"
"Define: consequential (kon-suh-kwen-shuhl)","adj. important adj. pompous, self-important I am not prepared to accept such consequential airs from a journalist 20 years my junior. Prefix: con- (from Latin, meaning “with” or “together”); Root: sequi (from Latin, meaning “to follow”); Suffix: -al (forming adjectives)"
"Define: tremulous (trem-yuh-luhs)","adj. trembling, timid, fearful He signed the contract with a tremulous hand. Root: trem (from Latin tremere, meaning “to tremble”); Suffix: -ous (forming adjectives, meaning “full of”)"
"Define: mendicant (men-dih-kuhnt)","n. a beggar, a supplicant There were a large number of mendicants stalking the street. Root: mendic (from Latin mendicare, meaning “to beg”); Suffix: -ant (forming nouns or adjectives)"
"Define: egress (n. ee-grehss; v. ih-grehss)","n. exit v. to exit It was thought that the prisoner, seeking egress from his cell before the spreading fire consumed it, had managed to slip out between the warping floorboards. Prefix: e- (from Latin, meaning “out”); Root: gress (from Latin gradi, meaning “to step”)"
"Define: preternatural (pree-ter-nach-er-uhl)","adj. beyond what is normal or natural Occasionally, people with mental illnesses also exhibit preternatural abilities in mathematics or memorization. Prefix: preter- (from Latin, meaning “beyond”); Root: natural (from Latin natura, meaning “nature”)"
"Define: fulminate (fuhl-muh-neyt)","v. to verbally attack v. to explode The crotchety old fool fulminated against every sort of modern improvement while we listened, too stunned to interrupt him. Root: fulmin (from Latin fulminare, meaning “to flash” or “to strike with lightning”)"
"Define: gull (guhl)","v. to fool or deceive They gulled Akiko so well that she walked right into her own surprise party without suspecting a thing. Root: gull (of uncertain origin, possibly related to the word “gullible”)"
"Define: rebus (ree-buhss)","n. a riddle in which words are represented by pictures Pictures of bees and eyes are commonly used in a rebus to symbolize the words “be” and “I”. Root: rebus (from Latin, meaning “by things”)"
"Define: pedestrian (puh-dess-tree-uhn)","adj. commonplace, trite, unremarkable Timothy's dissertation was lengthy but pedestrian. Root: ped (from Latin pes, meaning “foot”); Suffix: -ian (forming nouns or adjectives)"
"Define: distrait (diss-trey)","adj. distracted as a result of anxiety The distrait teacher kept pausing mid-sentence to look out the window. Root: distrait (from Old French, meaning “distracted”)"
"Define: nefarious (nih-fair-ee-uhs)","adj. vicious, evil The nefarious conspirators left nothing in the poor woman's house. Prefix: ne- (from Latin, meaning “not”); Root: fas (from Latin, meaning “divine law”); Suffix: -ious (forming adjectives, meaning “full of”)"
"Define: factious (fak-shuhss)","adj. inclined to make arguments, divisive, contentious Many networks purposely select factious personalities to appear in their reality T.V. shows in the hopes that their bickering will attract viewers. Root: fact (from Latin facere, meaning “to do” or “to make”); Suffix: -ious (forming adjectives, meaning “full of”)"
"Define: ignoble (ig-noh-buhl)","adj. dishonorable, disgraceful The ignoble act of profiteering at someone else's expense is not to be condoned. Prefix: ig- (variant of in-, meaning “not”); Root: noble (from Latin nobilis, meaning “noble”)"
"Define: epithet (epp-ih-thet)","n. a characterizing phrase n. a disparaging word or phrase Ivan the Terrible's name was one epithet I do not envy. Prefix: epi- (from Greek, meaning “upon”); Root: thet (from Greek tithenai, meaning “to place”)"
"Define: anodyne (ann-uh-dahyn)","adj. pain-relieving, soothing; bland n. a distress-reliever She tried to keep the conversation as anodyne as possible. Prefix: an- (from Greek, meaning “without”); Root: odyne (from Greek, meaning “pain”)"
"Define: jejune (djih-djoon)","adj. uninteresting, dull adj. immature adj. lacking in nutrition It may be said that her verse is jejune, but I happen to find a sage sensibility in her later poems. Root: jejun (from Latin jejunus, meaning “empty” or “barren”)"
"Define: conciliatory (kuhn-sill-ee-uh-tawr-ee)","adj. agreeable; overcoming distrust or hostility Karen's conciliatory attitude helped her to move up in the business. Root: concili (from Latin conciliatus, meaning “to bring together”); Suffix: -ory (forming adjectives, meaning “relating to”)"
"Define: diaspora (dahy-ass-per-uh)","n. a dispersion of people from their homeland (esp. Jews) n. a community of dispersed people The African diaspora throughout the world has settled into certain traditions, some of which are not actually African in origin. Prefix: dia- (from Greek, meaning “through” or “across”); Root: spora (from Greek speirein, meaning “to sow”)"
"Define: welter (well-ter)","v. to writhe, toss about; to be in turmoil The lake weltered in the storm, tossing the boat all over. Root: welter (from Middle English, meaning “to roll” or “to writhe”)"
"Name the vocab term: adj. dishonest Hint: starts with “m”","mendacious synonyms: deceptive, false, untruthful, misleading The politician's mendacious statements eroded public trust."
"Fill in the blank: The discovery was ______ for the advancement of medical research. Hint: Starts with “c” and means “significant or important”.","consequential consequential (kon-suh-kwen-shuhl) adj. important adj. pompous, self-important"
"Name the vocab term: adj. trembling, timid, fearful Hint: starts with “t”","tremulous synonyms: quivering, cowardly, nervous, shaky, apprehensive Her tremulous voice revealed her nervousness during the presentation."
"Fill in the blank: The ______ sat by the church, asking for spare change. Hint: Starts with “m” and means “a beggar”.","mendicant mendicant (men-dih-kuhnt) n. a beggar, a supplicant"
"Name the vocab term: n. exit v. to exit Hint: starts with “e”","egress synonyms: departure, escape, withdrawal, outflow, exit The fire alarm signaled the need for a quick egress from the building. Once the meeting ended, everyone began to egress from the room."
